Name,Street Address,Road,City,State,Brewery License,License Date,Status
Legal Draft Beer Co.,500,E DIVISION STREET,ARLINGTON,TX,Brewery,4/1/2016,Open
Live Oak Brewing Company,1615,CROZIER LANE,AUSTIN,TX,Brewery,10/20/2015,Open
Lone Pint Brewery,507,COMMERCE STREET,MAGNOLIA,TX,Brewery,9/10/2012,Open
Long Wood Spoon Brewing,4098,BUSINESS PARK DRIVE,AMARILLO,TX,Brewery,6/23/2015,Open
Lorelei Brewing Company,520,NAS DRIVE BUILDING BL002,CORPUS CHRISTI,TX,Brewery,11/26/2018,Open
Martin House Brewing Company,220,S SYLVANIA AVENUE SUITE 209,FORT WORTH,TX,Brewery,11/8/2012,Open
Maverick Brewery,115,BROADWAY,SAN ANTONIO,TX,Brewery,11/5/2018,In the works
New Republic Brewing Company,11405,N DOWLING ROAD UNIT C,COLLEGE STATION,TX,Brewery,3/16/2011,Open
Nine Band Brewing Co,9,PRESTIGE CIRCLE,ALLEN,TX,Brewery,1/26/2018,Open
NLand Surf Park,4836,HWY 71 EAST,DEL VALLE,TX,Brewery,8/7/2017,Open
Oak Cliff Brewing Company,1300,S POLK STREET SUITE 222,DALLAS,TX,Brewery,4/4/2018,Open
Oak Highlands Brewery,10484,BROCKWOOD ROAD,DALLAS,TX,Brewery,5/18/2015,Open
Old Town Brewhouse,146,WHATLEY AVENUE,LEWISVILLE,TX,Brewery,11/4/2013,Open
Orf Brewing,4700,BURLESON ROAD UNIT F,AUSTIN,TX,Brewery,1/6/2016,Open
Oskar Blues Brewery,10420,METRIC BOULEVARD SUITE 150,AUSTIN,TX,Brewery,1/27/2016,Open
Pegasus City Brewery,2222,VANTAGE STREET,DALLAS,TX,Brewery,1/24/2017,Open
Peticolas Brewing Company,2026,FARRINGTON STREET,DALLAS,TX,Brewery,8/25/2011,Open
Rabble-Rouser Brewing Company,301,E CEDAR AVENUE BUILDING 100,MCALLEN,TX,Brewery,9/28/2015,Open
Rahr & Sons Brewing,701,GALVESTON AVENUE,FORT WORTH,TX,Brewery,7/20/2004,Open
Railport Brewing Company,405,W MADISON STREET,WAXAHACHIE,TX,Brewery,1/30/2018,Open
Ranger Creek Brewing & Distilling,4834,WHIRLWIND DRIVE SUITE 102,SAN ANTONIO,TX,Brewery,8/13/2010,Open
Real Ale Brewing Company,231,SAN SABA COURT,BLANCO,TX,Brewery,4/13/1999,Open
Red Gap Brewing Company,712,CONRAD HILTON,CISCO,TX,Brewery,5/2/2017,Open
Rentschler Brewing,2500,NE INNER LOOP BUILDING 3,GEORGETOWN,TX,Brewery,4/6/2015,Open
Revolver Brewing,5650,MATLOCK ROAD,GRANBURY,TX,Brewery,12/13/2017,Open
Ruba,3310,BUTTERCUP STREET '1',HOUSTON,TX,Brewery,4/21/2008,Open
Saint Arnold Brewing Company,2000,LYONS AVENUE INCLUDING 2104,HOUSTON,TX,Brewery,4/22/1994,Open
Siren Rock Brewing Company,310,S GOLIAD STREET,ROCKWALL,TX,Brewery,5/7/2019,In the works
Southern Star Brewing Company,3525,N FRAZIER STREET,CONROE,TX,Brewery,1/29/2009,Open
Spoetzl Brewery Inc,603,E BREWERY STREET,SHINER,TX,Brewery,1/3/2000,Open
Su Ti Spirits Company,528,W KENNEDALE PARKWAY,KENNEDALE,TX,Brewery,1/23/2019,In the works
Symbolic Brewing Company,5521,NAVIGATION BOULEVARD,HOUSTON,TX,Brewery,10/19/2018,Open
Teddy's Brewhaus,100,N FISK,BROWNWOOD,TX,Brewery,3/5/2019,In the works
Texas Ale Project,1001,N RIVERFRONT,DALLAS,TX,Brewery,3/28/2014,Open
The Plains Brew Co,515,FM 179 NORTH,LUBBOCK,TX,Brewery,2/5/2016,Open
Thirsty Bro Brewing Co,141,E MAIN STREET,ROYSE CITY,TX,Brewery,9/23/2016,Open
Thirsty Planet Brewing Company,8201,S CONGRESS AVENUE,AUSTIN,TX,Brewery,1/29/2010,Open
Toddy Brewery,20120,FRANZ ROAD,KATY,TX,Brewery,9/15/2016,Open
Treaty Oak Brewing And Distilling Co,16604,FITZHUGH ROAD,DRIPPING SPRINGS,TX,Brewery,3/22/2016,Open
True Vine Brewing Company,2453,EARL CAMPBELL,TYLER,TX,Brewery,4/16/2018,Open
Tupps Brewery,721,ANDERSON,MCKINNEY,TX,Brewery,2/13/2015,Open
Twisted X Brewing Company,23455,RR 150 WEST,DRIPPING SPRINGS,TX,Brewery,2/2/2011,Open
Uncle Billy's Brewery,1530,BARTON SPRINGS ROAD,AUSTIN,TX,Brewery,5/26/2017,Open
Uncultured Ales,12307,ROXIE DR SUITE 206,AUSTIN,TX,Brewery,2/7/2017,Open
Under The Radar Brewery,1506,TRUXILLO STREET,HOUSTON,TX,Brewery,11/6/2015,Open
Wild Acre Brewing Company,1734,E EL PASO STREET SUITE 190,FORT WORTH,TX,Brewery,10/22/2015,Open
Wild Bunch Brewing Co.,1764,TAYLORSVILLE ROAD,RED ROCK,TX,Brewery,4/17/2013,Open
Wild Hare,319,E MAIN STREET,FREDERICKSBURG,TX,Brewery,4/23/2019,In the works
Winery On The Bay,1007,E NORTH STREET,ROCKPORT,TX,Brewery,6/4/2019,In the works
Woodcreek Brewing Company,1400,IH 30E SUITE A,ROCKWALL,TX,Brewery,3/23/2015,Open
Zilker Brewing Company,1701,E 6TH STREET,AUSTIN,TX,Brewery,1/22/2015,Open
